,Source,Target,Weight
641,women_in_technology,women_in_tech,9
642,women_in_technology,professional_women,5
643,women_in_technology,women_science_technology_engineering_&_mathematics,3
644,women_in_technology,women_in_engineering,2
645,business_model_innovation,web_api_design,1
646,cryptocurrency,storage_solutions,1
647,cryptocurrency,bitcoin,29
648,cryptocurrency,what_is_bitcoin,4
649,cryptocurrency,cryptoequity,2
650,cryptocurrency,cryptography,21
651,cryptocurrency,virtual_currency,22
652,cryptocurrency,digital_currency,29
653,cryptocurrency,peer2peer,1
654,cryptocurrency,ethereum,18
655,data_storage,cloud_storage,4
656,apex_development,salesforce.com_developers,7
657,public_health,mhealth,2
658,meteor,javascript,10
659,ui_design,ux_/_ui_design,7
660,ui_design,graphical_user_interfaces,5
661,ui_design,ux_design,47
662,infrastructure,microsoft_azure,1
663,computer_graphics,opencl,2
664,computer_graphics,3d_modeling,5
665,computer_graphics,video_and_computer_animation,1
666,computer_graphics,cg_animation,2
667,computer_graphics,webgl,3
668,scaling_agile,project_portfolio_management,2
669,scaling_agile,scaled_agile_framework_(safe),9
670,master_data_management,data_management,3
671,cio_/_cto,it_professionals,2
672,cio_/_cto,cto,2
673,cio_/_cto,c-level_tech,1
674,amazon_web_services,cloud_computing,36
675,business_referral_networking,entrepreneurship,10
676,load_testing_and_performance,low-latency,2
677,load_testing_and_performance,software_quality,10
678,nosql,mongodb,21
679,nosql,document_databases,2
680,nosql,big_data,78
681,nosql,oracle_application_business_solutions,2
682,nosql,mariadb,2
683,nosql,enterprise_search,4
684,appstore,mobile_development,2
685,risk_governance_and_compliance,risk_assessment,1
686,risk_governance_and_compliance,information_governance,1
687,risk_governance_and_compliance,regulatory_compliance,3
688,risk_governance_and_compliance,compliance,2
689,risk_governance_and_compliance,taxonomy,1
690,risk_governance_and_compliance,financial_risk_managment,1
691,htc_vive,virtual_reality,5
692,enterprise_technology,jira,1
693,enterprise_technology,uk_software_developers,1
694,salesforce.com_integration,salesforce.com_developers,6
695,amazon.com,selling_on_amazon,4
696,amazon.com,private_label_product,3
697,managed_services,it_professionals,2
698,product_development,product_marketing,7
699,product_development,mobile_product_management,5
700,product_development,design_for_manufacturing,1
701,product_development,product_design,32
702,product_development,alternative_energy,2
703,product_development,problem_solving,1
704,technology,clean_technology,5
705,technology,information_technology,29
706,technology,technology_professionals,43
707,technology,business,3
708,technology,operations_management,2
709,technology,cognitive_science,1
710,technology,social,5
711,technology,creative_industries,2
712,technology,hackshackers,2
713,technology,entrepreneurship,74
714,technology,creative_coding,3
715,technology,music_technology,1
716,technology,people_helping_people,4
717,technology,emerging_technologies,4
718,technology,full_stack_development,1
719,technology,london,8
720,technology,episerver,1
721,technology,charity,2
722,technology,green_technology,5
723,technology,digital_lifestyle,1
724,technology,geeks_&_nerds,4
725,technology,creative_technologists,2
726,technology,education_&_technology,37
727,technology,big_data,30
728,technology,sports_and_socials,1
729,technology,nanotech,2
730,technology,volunteering,3
731,technology,environment,2
732,quantum_computing,robotics,1
733,financial_services,financial_technology,5
734,financial_services,supply_chain_performance_&_kpis,2
735,financial_services,supply_chain_management,2
736,financial_services,automate_supply_chain_operations,2
737,financial_services,supply_chain_strategy,2
738,.net,visual_studio,3
739,.net,microsoft_technologies,1
740,.net,microsoft_.net_user_group,9
741,.net,asp.net_mvc,16
742,.net,asp.net,19
743,.net,.net_content_management_systems,3
744,.net,microsoft_technology,9
745,.net,windows_azure_platform,15
746,.net,microsoft_sharepoint_technology,2
747,.net,mobile_development,28
748,multimedia_design,mobile_development,1
749,law_practice,legal_industry,2
750,creativity,web_design,12
751,drupal,digital_asset_management,1
752,drupal,cms_(content_management_systems),14
753,drupal,learning_drupal,13
754,graphic_design,furniture_design,2
755,graphic_design,fashion_design,2
756,graphic_design,typography,2
757,graphic_design,web_design,40
758,uk_aws_users,cloud_computing,4
759,concurrent_programming,distributed_systems,7
760,startup_weekend,startup_pitching,1
761,business_analysis,business_analysis_tools_and_techniques,2
762,business_analysis,business_analysts,3
763,sql_server_azure,sql,7
764,sql_server_azure,sql_azure,3
765,sql_server_azure,sql_integration_services,5
766,natural_language_processing,machine_learning,22
767,hack,arduino,4
768,independent_game_development,unreal_engine,7
769,independent_game_development,video_game_writing,2
770,independent_game_development,"game_design,_game_modding,_3d_modeling",3
771,machine_vision,robotics,4
772,project_management_training,scrum,2
773,project_management_training,software_project_management,2
774,online_selling,selling_on_amazon,5
775,digital_marketing_analytics,digital_marketing,6
776,learn_coding,live_coding,2
777,learn_coding,coders,7
778,ebay,how_to_sell_on_ebay,3
779,ebay,work_at_home_ebay_sellers,3
780,ebay,selling_on_ebay,3
781,ebay,e-commerce,5
782,ebay,selling_on_ebay_worldwide,2
783,ebay,ebay_selling,3
784,considering_an_online_ecommerce_retail_store?,ecommerce_marketing,3
785,teachers,education_&_technology,5
786,microsoft_dynamics_business_solutions,customer_relationship_management,3
787,microsoft_dynamics_business_solutions,microsoft_dynamics_ax,2
788,salesforce.com_admins,salesforce.com,3
789,salesforce.com_admins,salesforce.com_users,1
790,salesforce.com_admins,salesforce_training,2
791,bitbucket,clover,1
792,bitbucket,jira,1
793,bitbucket,bamboo,1
794,enterprise_architecture,togaf,2
795,mobile_developers,mobile_development,4
796,blogging_tips_+_tricks,blogging,2
797,mozilla,mobile_development,1
798,content_management,open_source_content_management,3
799,content_management,document_management_systems,2
800,content_management,cms_(content_management_systems),8
801,blockchain,blockchain_security,8
802,blockchain,distributed_ledger,2
803,blockchain,decentralized_systems,10
804,blockchain,ethereum,19
805,distributed_ledger,decentralized_ledger_technology_(dlt),1
806,cnc_routing_and_machining,makers,4
807,xaml,mobile_development,2
808,change_management,change_leadership,1
809,change_management,service_design,1
810,change_management,facilitation,1
811,digital_currency,entrepreneurship,7
812,digital_currency,money,6
813,math,machine_learning,3
814,chatbots,artificial_intelligence,4
815,chatbots,bots,4
816,chatbots,web_bot,2
817,milton_keynes,internet_of_things,2
818,sql_server,sql,12
819,sql_server,sql_server_analysis_services,7
820,sql_server,advanced_sql_server,8
821,force.com,apex,7
822,force.com,salesforce.com_developers,8
823,force.com,salesforce.com_chatter,3
824,force.com,heroku,8
825,lean_project_management,project_management_methods,5
826,blogging_for_business,blogging,2
827,customer_development,technology_startups,2
828,customer_success_management,customer_relationship_management,2
829,atlassian,confluence,4
830,atlassian,other_atlassian_products,3
831,atlassian,git,3
832,atlassian,methods_of_upgrading_the_atlassian_suite!,2
833,atlassian,hipchat,4
834,atlassian,fisheye,2
835,atlassian,jira,4
836,atlassian,crucible,2
